Name,Data Available,Lat,Lon,Start Date,End Date
CABL,Yes,42.836097717,-124.56334686299999,2009-03-06,2009-03-18
DDSN,Yes,43.118789673,-123.24423980700001,2009-03-06,2009-03-17
HCRO,Yes,40.815917969000004,-121.46990203899999,2009-03-07,2009-03-21
LFLO,Yes,43.9836,-124.1077,2009-03-06,2009-03-17
MDMT,Yes,42.41834259,-121.221603394,2009-03-06,2009-03-18
MODB,Yes,41.90233,-120.30283,2009-03-07,2009-03-21
P017,Yes,41.2757,-119.9359,2009-03-07,2009-03-21
P058,Yes,40.876304626,-124.07537078899999,2009-03-07,2009-03-21
P060,Yes,40.997631073,-122.414886475,2009-03-07,2009-03-21
P061,Yes,42.96737670899999,-124.014015198,2009-03-06,2009-03-17
P062,Yes,43.11238861100001,-121.09071350100001,2009-03-06,2009-03-17
P148,Yes,40.418586731,-120.805961609,2009-03-07,2009-03-21
P151,Yes,40.288902283,-120.077262878,2009-03-07,2009-03-21
P154,Yes,41.80708313,-123.360054016,2009-03-07,2009-03-21
P155,Yes,41.272434235,-123.18878936799999,2009-03-07,2009-03-21
P156,Yes,40.024440765,-123.9061203,2009-03-07,2009-03-21
P157,Yes,40.24754715,-124.30807495100001,2009-03-07,2009-03-21
P158,Yes,40.422489166,-124.107208252,2009-03-07,2009-03-21
P159,Yes,40.504787445,-124.282783508,2009-03-07,2009-03-21
P161,Yes,40.637363434,-124.213088989,2009-03-07,2009-03-21
P162,Yes,40.691093445,-124.237037659,2009-03-07,2009-03-21
P163,Yes,40.21957016,-124.057289124,2009-03-07,2009-03-21
P164,Yes,40.119255066,-123.693344116,2009-03-07,2009-03-21
P165,Yes,40.245548248,-123.853263855,2009-03-07,2009-03-21
P166,Yes,40.435184479,-123.86283111600001,2009-03-07,2009-03-21
P167,Yes,40.543704987,-123.880180359,2009-03-07,2009-03-21
P168,Yes,40.668636322,-123.88146209700001,2009-03-07,2009-03-21
P169,Yes,40.791145325,-123.967651367,2009-03-07,2009-03-21
P170,Yes,40.880233765,-123.86328125,2009-03-07,2009-03-21
P179,Yes,42.098972321,-123.68556976299999,2009-03-06,2009-03-19
P191,Yes,42.275356293,-123.632263184,2009-03-06,2009-03-18
P315,Yes,39.863582611,-123.71689605700001,2009-03-07,2009-03-21
P316,Yes,41.559131621999995,-124.086143494,2009-03-07,2009-03-21
P317,Yes,39.905670166,-123.551849365,2009-03-07,2009-03-21
P322,Yes,39.962142944,-123.182479858,2009-03-07,2009-03-21
P324,Yes,40.256835938,-123.65573883100001,2009-03-07,2009-03-21
P325,Yes,41.151668549,-123.882606506,2009-03-07,2009-03-21
P326,Yes,40.575313568,-123.698928833,2009-03-07,2009-03-21
P327,Yes,40.478858948,-123.57306671100001,2009-03-07,2009-03-21
P329,Yes,40.082214355,-123.452049255,2009-03-07,2009-03-21
P330,Yes,40.324069977,-123.13558197,2009-03-07,2009-03-21
P331,Yes,40.732913971,-123.324142456,2009-03-07,2009-03-21
P337,Yes,40.296188354,-122.868804932,2009-03-07,2009-03-21
P338,Yes,40.747550964,-122.92302703899999,2009-03-07,2009-03-21
P339,Yes,40.034111023,-122.668251038,2009-03-07,2009-03-21
P341,Yes,40.650657654,-122.60690307600001,2009-03-07,2009-03-21
P343,Yes,40.887126923000004,-123.334213257,2009-03-07,2009-03-21
P344,Yes,39.929122925,-122.02796936,2009-03-07,2009-03-21
P345,Yes,40.271232605,-122.270805359,2009-03-07,2009-03-21
P347,Yes,41.18334198,-120.94846344,2009-03-07,2009-03-21
P348,Yes,40.905544281,-121.82800293,2009-03-07,2009-03-21
P349,Yes,40.731086731,-122.319351196,2009-03-07,2009-03-21
P362,Yes,42.209102631,-124.225791931,2009-03-06,2009-03-18
P363,Yes,42.860061646,-124.054046631,2009-03-06,2009-03-18
P364,Yes,43.090328217,-124.409294128,2009-03-06,2009-03-17
P366,Yes,43.614311218000005,-123.97959137,2009-03-06,2009-03-17
P368,Yes,42.50352478,-123.38342285200001,2009-03-06,2009-03-18
P369,Yes,43.140106201,-123.429458618,2009-03-06,2009-03-17
P370,Yes,42.190986633,-122.65637207,2009-03-06,2009-03-18
P371,Yes,43.363273621000005,-123.057899475,2009-03-06,2009-03-17
P373,Yes,43.622520447,-123.333274841,2009-03-06,2009-03-17
P380,Yes,42.259670258,-121.779701233,2009-03-06,2009-03-18
P381,Yes,43.0018,-119.9518,2009-03-06,2009-03-17
P382,Yes,43.17705535899999,-121.76957702600001,2009-03-06,2009-03-17
P383,Yes,44.342185973999996,-122.217224121,2009-03-06,2009-03-17
P385,Yes,44.434848785,-121.94583129899999,2009-03-06,2009-03-17
P388,Yes,42.468780518,-120.37760925299999,2009-03-06,2009-03-18
P389,Yes,43.811992645,-120.60336303700001,2009-03-06,2009-03-17
P734,Yes,42.076633453,-124.293258667,2009-03-06,2009-03-19
PSPT,Yes,42.7548,-122.4895,2009-03-06,2009-03-18
PTSG,Yes,41.782741547,-124.25520324700001,2009-03-07,2009-03-21
QUIN,Yes,39.9746,-120.9444,2009-03-07,2009-03-21
SHIN,Yes,40.591678619,-120.22504425,2009-03-07,2009-03-21
TRND,Yes,41.053886414000004,-124.15086364700001,2009-03-07,2009-03-21
YBHB,Yes,41.7316563148,-122.71073613770001,2009-03-07,2009-03-21
