lat,lon,depth,time 
 42.195, -123.303, 20.0, 2016-06-02 05:32:30 
 48.07, -123.525, 43.0, 2016-01-01 00:00:00 
 48.115, -123.72, 30.0, 2016-01-01 00:12:30 
 48.17, -123.63, 29.5, 2016-01-01 00:17:30 
 48.165, -123.62, 29.0, 2016-01-01 00:20:00 
 48.185, -123.58200000000001, 22.8, 2016-01-01 00:22:30 
 48.195, -123.572, 22.8, 2016-01-01 00:25:00 
 48.185, -123.678, 20.0, 2016-01-01 00:27:30 
 48.19, -123.65, 25.0, 2016-01-01 00:30:00 
 48.285, -123.6, 20.2, 2016-01-01 00:35:00 
 48.275, -123.595, 25.2, 2016-01-01 00:37:30 
 48.225, -123.72, 20.0, 2016-01-01 00:40:00 
 48.96, -124.07, 28.0, 2016-01-01 00:42:30 
 48.273, -123.477, 37.0, 2016-01-01 00:42:30 
 48.295, -123.575, 22.5, 2016-01-01 00:45:00 
 48.3, -123.54700000000001, 20.0, 2016-01-01 00:47:30 
 48.3, -123.5, 28.0, 2016-01-01 00:50:00 
 48.26, -123.675, 33.5, 2016-01-01 00:52:30 
 48.23, -123.695, 23.8, 2016-01-01 00:55:00 
 48.225, -123.67, 40.8, 2016-01-01 00:57:30 
 48.15, -123.37, 36.0, 2016-01-01 01:00:00 
 40.24, -122.5, 40.0, 2016-01-01 01:20:00 
 48.14, -123.62, 44.0, 2016-01-01 01:25:00 
 48.325, -123.105, 28.5, 2016-01-01 01:32:30 
 48.335, -122.9, 46.0, 2016-01-01 01:35:00 
 48.5, -123.62, 20.0, 2016-01-01 01:37:30 
 48.395, -123.35, 35.0, 2016-01-01 01:40:00 
 48.347, -123.385, 20.0, 2016-01-01 01:42:30 
 48.205, -123.3, 20.0, 2016-01-01 01:45:00 
 50.075, -126.6, 33.0, 2016-01-01 02:02:30 
 48.19, -123.67, 23.0, 2016-01-01 02:05:00 
 48.38, -123.25, 20.0, 2016-01-01 02:07:30 
 48.13, -123.65, 23.0, 2016-01-01 02:20:00 
 48.21, -123.59, 31.0, 2016-01-01 02:22:30 
 48.275, -123.455, 20.0, 2016-01-01 02:25:00 
 48.26, -123.425, 20.0, 2016-01-01 02:27:30 
 48.18, -123.64, 29.0, 2016-01-01 02:30:00 
 50.01, -126.69, 60.0, 2016-01-01 02:32:30 
 48.111999999999995, -123.63, 37.0, 2016-01-01 02:32:30 
 48.19, -123.74, 43.0, 2016-01-01 02:35:00 
 48.41, -123.32, 41.0, 2016-01-01 02:37:30 
 48.2, -123.49, 20.0, 2016-01-01 02:40:00 
 48.25, -123.35, 39.5, 2016-01-01 02:42:30 
 48.295, -122.955, 30.5, 2016-01-01 02:45:00 
 48.305, -122.915, 26.2, 2016-01-01 02:47:30 
 48.282, -122.94, 42.2, 2016-01-01 02:50:00 
 48.355, -123.07, 51.0, 2016-01-01 02:52:30 
 48.59, -124.03, 25.0, 2016-01-01 03:20:00 
 48.38, -123.34, 51.0, 2016-01-01 03:20:00 
 48.23, -123.4, 20.0, 2016-01-01 03:22:30 
 48.21, -123.333, 40.0, 2016-01-01 03:25:00 
 48.167, -123.30799999999999, 40.0, 2016-01-01 03:27:30 
 48.157, -123.31, 33.5, 2016-01-01 03:30:00 
 48.21, -123.417, 26.2, 2016-01-01 03:32:30 
 48.255, -123.493, 23.2, 2016-01-01 03:35:00 
 48.325, -123.745, 60.0, 2016-01-01 03:37:30 
 48.24, -123.325, 28.5, 2016-01-01 03:42:30 
 48.275, -123.475, 20.0, 2016-01-01 03:45:00 
 48.255, -123.455, 48.0, 2016-01-01 03:47:30 
 48.94, -124.81, 20.0, 2016-01-01 03:55:00 
 48.46, -123.22, 60.0, 2016-01-01 03:55:00 
 48.38, -123.44, 60.0, 2016-01-01 03:57:30 
 48.85, -124.91, 24.0, 2016-01-01 04:00:00 
 48.88, -124.92, 22.0, 2016-01-01 04:02:30 
 48.87, -124.96, 20.0, 2016-01-01 04:05:00 
 48.205, -123.68, 21.0, 2016-01-01 04:10:00 
 48.88, -124.885, 20.0, 2016-01-01 04:17:30 
 50.1, -126.59, 36.0, 2016-01-01 04:20:00 
 50.11, -126.6, 37.0, 2016-01-01 04:22:30 
 50.02, -126.59, 28.0, 2016-01-01 04:25:00 
 50.01, -126.62, 23.0, 2016-01-01 04:27:30 
 48.3, -123.185, 26.5, 2016-01-01 04:27:30 
 48.25, -123.495, 28.0, 2016-01-01 04:32:30 
 48.27, -123.478, 26.0, 2016-01-01 04:35:00 
 48.192, -123.45299999999999, 37.0, 2016-01-01 04:37:30 
 48.07, -123.5, 40.0, 2016-01-01 04:42:30 
 48.825, -124.85, 29.5, 2016-01-01 04:45:00 
 48.87, -124.86, 20.5, 2016-01-01 04:47:30 
 48.18, -123.7, 53.0, 2016-01-01 04:47:30 
 48.86, -124.855, 20.0, 2016-01-01 04:50:00 
 48.13, -123.73, 39.0, 2016-01-01 04:50:00 
 48.85, -124.745, 22.5, 2016-01-01 04:52:30 
 48.805, -124.72, 22.8, 2016-01-01 04:55:00 
 48.145, -123.07, 51.0, 2016-01-01 04:57:30 
 48.14, -123.095, 47.0, 2016-01-01 05:00:00 
 48.793, -124.86, 30.5, 2016-01-01 05:02:30 
 48.19, -123.59, 31.0, 2016-01-01 05:02:30 
 48.8, -124.89, 33.0, 2016-01-01 05:05:00 
 48.2, -123.71, 31.0, 2016-01-01 05:05:00 
 48.855, -124.82, 23.5, 2016-01-01 05:07:30 
 48.205, -123.71, 31.0, 2016-01-01 05:07:30 
 48.86, -124.82, 23.8, 2016-01-01 05:10:00 
 48.915, -124.81, 20.0, 2016-01-01 05:12:30 
 48.27, -123.53, 26.0, 2016-01-01 05:12:30 
 48.24, -123.632, 40.0, 2016-01-01 05:15:00 
 48.92, -124.83, 27.5, 2016-01-01 05:17:30 
 48.19, -123.64, 29.0, 2016-01-01 05:17:30 
 48.865, -124.815, 24.0, 2016-01-01 05:20:00 
 48.13, -123.63, 20.0, 2016-01-01 05:20:00 
 48.775, -124.79, 40.5, 2016-01-01 05:22:30 
 48.18, -123.507, 40.0, 2016-01-01 05:22:30 
 48.38, -123.495, 34.0, 2016-01-01 05:25:00 
 48.89, -124.82, 20.0, 2016-01-01 05:30:00 
 48.26, -123.79, 20.5, 2016-01-01 05:30:00 
 48.891999999999996, -124.815, 24.0, 2016-01-01 05:32:30 
 48.29, -123.775, 25.0, 2016-01-01 05:32:30 
 48.9, -124.87, 31.5, 2016-01-01 05:35:00 
 48.3, -123.645, 52.0, 2016-01-01 05:35:00 
 40.2, -122.22, 60.0, 2016-01-01 05:40:00 
 48.865, -124.785, 20.0, 2016-01-01 05:55:00 
 48.3, -123.69, 41.0, 2016-01-01 05:55:00 
 48.87, -124.77, 22.8, 2016-01-01 05:57:30 
 48.32, -123.58, 60.0, 2016-01-01 05:57:30 
 40.19, -122.19, 60.0, 2016-01-01 05:57:30 
 48.84, -124.75, 28.0, 2016-01-01 06:00:00 
 40.175, -122.185, 49.5, 2016-01-01 06:00:00 
 50.0, -126.64, 42.0, 2016-01-01 06:02:30 
 48.77, -124.77, 20.0, 2016-01-01 06:05:00 
 48.26, -123.37, 20.0, 2016-01-01 06:05:00 
 48.755, -124.755, 22.5, 2016-01-01 06:07:30 
 48.26, -123.34, 20.0, 2016-01-01 06:07:30 
 48.82, -124.805, 21.5, 2016-01-01 06:10:00 
 48.852, -124.81700000000001, 21.8, 2016-01-01 06:12:30 
