Longitude,Latitude,Depth_km
-125.0993744,40.4262825,-5
-125.068538,40.50366473,-5
-125.0381355,40.5811515,-5
-125.0268772,40.66368719,-5
-125.0321824,40.74653693,-5
-125.0518343,40.82723475,-5
-125.0749463,40.90726427,-5
-125.0859492,40.98912329,-5
-125.0875162,41.07240855,-5
-125.0890809,41.15569385,-5
-125.0823167,41.23858187,-5
-125.0728263,41.32133949,-5
-125.0633012,41.40409311,-5
-125.0523894,41.48665886,-5
-125.0394817,41.56895274,-5
-125.0265396,41.65124119,-5
-125.0204136,41.73415964,-5
-125.0180607,41.8174264,-5
-125.0156786,41.90069233,-5
-125.0256919,41.98302094,-5
-125.0405927,42.06497737,-5
-125.0598717,42.14585596,-5
-125.0847904,42.22534147,-5
-125.1097691,42.30480815,-5
-125.1340456,42.38448567,-5
-125.1570341,42.46455075,-5
-125.1800822,42.5445987,-5
-125.2031773,42.62463312,-5
-125.2253071,42.70492818,-5
-125.2456948,42.7856947,-5
-125.2661282,42.86644966,-5
-125.2866077,42.94719297,-5
-125.3053143,43.02832949,-5
-125.3209591,43.11014715,-5
-125.3366395,43.19195801,-5
-125.3523555,43.27376202,-5
-125.3659576,43.35591529,-5
-125.3774218,43.43842264,-5
-125.3889114,43.52092644,-5
-125.4004267,43.60342667,-5
-125.4099993,43.68616825,-5
-125.4190376,43.76897647,-5
-125.4280945,43.85178264,-5
-125.4371703,43.93458674,-5
-125.4459888,44.0174145,-5
-125.4523301,44.10047278,-5
-125.4586721,44.18353101,-5
-125.4650311,44.26658793,-5
-125.4713902,44.34964486,-5
-125.4777749,44.43269981,-5
-125.4841602,44.51575472,-5
-125.4905777,44.59880715,-5
-125.4969981,44.68185935,-5
-125.5049996,44.76477157,-5
-125.5132704,44.84765996,-5
-125.5215591,44.93054655,-5
-125.5298834,45.01342957,-5
-125.5382078,45.09631259,-5
-125.5465712,45.17919167,-5
-125.5549436,45.26206985,-5
-125.5633284,45.34494679,-5
-125.5717426,45.42782073,-5
-125.5801569,45.51069467,-5
-125.5920881,45.5931136,-5
-125.6050606,45.67539729,-5
-125.618062,45.75767641,-5
-125.6311029,45.83994928,-5
-125.6441778,45.92221675,-5
-125.659733,46.00399998,-5
-125.6785747,46.0851411,-5
-125.6974756,46.16626844,-5
-125.7164022,46.24738979,-5
-125.7354116,46.32849177,-5
-125.7544442,46.40958832,-5
-125.7735435,46.49066917,-5
-125.7961786,46.57074981,-5
-125.8223837,46.64982056,-5
-125.8486819,46.7288604,-5
-125.875015,46.80788857,-5
-125.9014383,46.88688668,-5
-125.9279179,46.96586589,-5
-125.9544652,47.04482243,-5
-125.984952,47.12230942,-5
-126.0166446,47.19934488,-5
-126.0484126,47.27634931,-5
-126.0802774,47.35331377,-5
-126.1122093,47.43025037,-5
-126.1456505,47.50645554,-5
-126.1864797,47.57906314,-5
-126.2274053,47.65161646,-5
-126.2684065,47.72412704,-5
-126.3094887,47.79659181,-5
-126.3506932,47.86898711,-5
-126.3972392,47.93782958,-5
-126.4481288,48.0037776,-5
-126.4991089,48.06965561,-5
-126.5501819,48.13546169,-5
-126.603284,48.19952312,-5
-126.6608175,48.25976258,-5
-126.7184467,48.31991037,-5
-126.7761289,48.38000735,-5
-126.8339321,48.43998807,-5
-126.8918011,48.49990512,-5
-126.9497423,48.55975252,-5
-127.0088152,48.61847969,-5
-127.0680674,48.67702932,-5
-127.1274154,48.73548175,-5
-127.1868667,48.79382934,-5
-127.2463364,48.852158,-5
-127.3059852,48.91030362,-5
-127.365634,48.96844924,-5
-127.4254202,49.02645334,-5
-127.4852651,49.08439709,-5
-127.5440519,49.14337155,-5
-127.6004058,49.20471587,-5
-127.6568314,49.26599424,-5
-127.713351,49.32718592,-5
-127.7699642,49.38829094,-5
-127.8266515,49.44932726,-5
-127.8834544,49.51025604,-5
-127.9403115,49.5711343,-5
-127.9940012,49.63478854,-5
-128.0469698,49.69907862,-5
-128.1000317,49.76329166,-5
-128.1531871,49.82742736,-5
-127.5346021,50.20199045,-20
-127.4816175,50.13771361,-20
-127.4287296,50.07335711,-20
-127.3759288,50.00892909,-20
-127.3191583,49.94799814,-20
-127.2619768,49.88742454,-20
-127.204874,49.82677675,-20
-127.1456837,49.76818459,-20
-127.0859827,49.71009259,-20
-127.0263803,49.6518994,-20
-126.9652612,49.59545584,-20
-126.8993812,49.54447829,-20
-126.8335682,49.49341415,-20
-126.7678225,49.44226359,-20
-126.6988603,49.39555538,-20
-126.6297961,49.34898247,-20
-126.5607929,49.30231941,-20
-126.4902055,49.25821875,-20
-126.4176647,49.21727092,-20
-126.3451769,49.1762295,-20
-126.272728,49.13511924,-20
-126.2003419,49.09389861,-20
-126.1279826,49.05263107,-20
-126.0556976,49.0112334,-20
-125.9834277,48.96980923,-20
-125.9146288,48.9228627,-20
-125.8464344,48.87506456,-20
-125.7814756,48.82291828,-20
-125.716593,48.77067707,-20
-125.6517781,48.71835206,-20
-125.588663,48.6641088,-20
-125.529022,48.60595526,-20
-125.4694762,48.54770426,-20
-125.4099868,48.48939555,-20
-125.3505958,48.43098668,-20
-125.2912894,48.37249193,-20
-125.2322822,48.3137025,-20
-125.1749857,48.25323761,-20
-125.1177758,48.19269084,-20
-125.0634715,48.12963,-20
-125.0118799,48.06422969,-20
-124.960377,47.99875952,-20
-124.9141392,47.9295294,-20
-124.8690068,47.85951539,-20
-124.8239649,47.78944316,-20
-124.7790132,47.71931306,-20
-124.7404601,47.64551893,-20
-124.7028086,47.57121381,-20
-124.6652447,47.49686434,-20
-124.6290916,47.42187763,-20
-124.5984451,47.34442003,-20
-124.5678697,47.26693432,-20
-124.5376831,47.18930304,-20
-124.5103883,47.11060181,-20
-124.4831566,47.03187871,-20
-124.4566399,46.95292645,-20
-124.433335,46.8729529,-20
-124.4100927,46.79296112,-20
-124.3948286,46.71117447,-20
-124.3816056,46.62893067,-20
-124.3692159,46.54656401,-20
-124.3581996,46.46399567,-20
-124.3472092,46.38142387,-20
-124.3425334,46.29828845,-20
-124.3387309,46.21507528,-20
-124.334932,46.13186195,-20
-124.3311356,46.0486485,-20
-124.3286278,45.96540865,-20
-124.3290232,45.88210959,-20
-124.3294226,45.79881055,-20
-124.3298111,45.71551146,-20
-124.3301938,45.63221237,-20
-124.3309336,45.54891566,-20
-124.3316802,45.465619,-20
-124.3324167,45.38232226,-20
-124.3331271,45.29902529,-20
-124.3310695,45.21575429,-20
-124.3287951,45.13248535,-20
-124.3265195,45.04921644,-20
-124.324243,44.96594755,-20
-124.3200752,44.88278008,-20
-124.3134331,44.79974532,-20
-124.306802,44.71670967,-20
-124.3001917,44.63367236,-20
-124.2935876,44.55063457,-20
-124.2870004,44.46759543,-20
-124.2804158,44.38455608,-20
-124.2738431,44.30151579,-20
-124.2671304,44.21848782,-20
-124.2590964,44.13557616,-20
-124.2510653,44.0526642,-20
-124.2430599,43.96974977,-20
-124.2350577,43.88683503,-20
-124.2270808,43.80391785,-20
-124.2191064,43.72100042,-20
-124.2111495,43.63808132,-20
-124.2029825,43.55518433,-20
-124.1935044,43.4724253,-20
-124.1840356,43.38966522,-20
-124.1745799,43.30690363,-20
-124.1651407,43.22414016,-20
-124.1557349,43.1413729,-20
-124.1439734,43.0589224,-20
-124.1311806,42.97661059,-20
-124.1184262,42.89429282,-20
-124.1056816,42.81197354,-20
-124.0929812,42.72964743,-20
-124.0802858,42.64732053,-20
-124.0676379,42.56498633,-20
-124.0548912,42.48266789,-20
-124.0413034,42.40048357,-20
-124.0277439,42.31829458,-20
-124.0142101,42.23610136,-20
-124.0007062,42.15390322,-20
-123.9872187,42.07170238,-20
-123.973757,41.98949732,-20
-123.9572905,41.90785674,-20
-123.9400276,41.82636513,-20
-123.9227991,41.74486624,-20
-123.9056049,41.66336011,-20
